State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,Year Average
Hawaii,2011,0.0028884780930232587,0.027060956810631188,0.0009156075681063123,0.31541769269103176,2.29734219269103,3.9119601328903655,27.13953488372093,8.787375415282392,0.08657068379069813
Hawaii,2012,0.0028889670588235195,0.024242895588235305,0.0008842389647058831,0.38390230000000486,1.1661764705882354,4.613970588235294,24.814705882352943,8.264705882352942,0.10297960040294239
Hawaii,2013,0.0031097284420849437,0.028246048262548288,0.0012930204536679545,0.41661739189189184,2.2606177606177607,5.086872586872587,29.086872586872587,9.583011583011583,0.11231654726254825
Hawaii,2014,0.003442757012987016,0.02389969480519482,0.0009988773003246755,0.3366392370129853,2.9123376623376624,4.123376623376624,27.42207792207792,8.314935064935066,0.09124514153287296
Hawaii,2015,0.003564983055716349,0.02376297395079594,0.0010755972185238793,0.3912627916063692,3.1034732272069463,4.780752532561505,26.8205499276411,8.722865412445731,0.10491658645785133
Idaho,2009,0.006337445621621622,0.03415621621621623,0.00023196498648648644,0.14868518918918916,1.1081081081081081,2.189189189189189,44.810810810810814,22.0,0.047352704003378376
Idaho,2010,0.009400810288088644,0.02642628254847646,0.0003346880720221608,0.18073513019390575,0.6925207756232687,2.89196675900277,33.83102493074792,24.019390581717452,0.05422422777562325
Idaho,2011,0.009925650260869567,0.012998608695652175,0.0007162484782608696,0.2717391304347826,1.9565217391304348,4.826086956521739,20.91304347826087,16.91304347826087,0.0738449094673913
Illinois,2000,0.02643745747727276,0.017104860795454552,0.006099495767045457,0.706236491477272,24.583806818181817,11.079545454545455,24.0625,42.15482954545455,0.18896957637926118
Illinois,2001,0.02235683982337991,0.020867899618805565,0.005501072278271919,0.5938024498094023,27.491740787801778,9.833545108005083,31.935196950444727,37.9148665819568,0.16063206538246494
Illinois,2002,0.01985394453703705,0.021769085978835975,0.004202177523809523,0.5932935132275134,21.296296296296298,9.670634920634921,35.11243386243386,34.148148148148145,0.159779680316799
Illinois,2003,0.020684056693913034,0.020922853913043472,0.005052118909565217,0.5150676173913042,26.30608695652174,8.761739130434783,31.69217391304348,34.93217391304348,0.14043166172695648
Illinois,2004,0.01881421912351944,0.020636064297800332,0.004147102079526227,0.5795745109983076,21.76818950930626,9.262267343485618,29.314720812182742,32.28087986463621,0.1557929741247884
Illinois,2005,0.017899080328621912,0.024536261484098956,0.00485952713074205,0.45866541342756223,28.146643109540637,7.796819787985866,36.957597173144876,32.74734982332156,0.1264900705927563
Illinois,2006,0.017391594790235068,0.02114359674502711,0.0027319841320072344,0.37357455696202535,14.652802893309222,6.444846292947559,30.74502712477396,31.22603978300181,0.10371043315732369
Illinois,2007,0.01450169262929748,0.023435304185351283,0.001676276607623316,0.3278674521674136,9.41405082212257,5.0926756352765326,32.67414050822123,27.376681614349774,0.09187018139742142
Illinois,2008,0.01408593526932464,0.021669790886899944,0.001593608371847029,0.2765984467046375,8.782750203417413,4.242473555736371,28.50040683482506,27.213995117982098,0.07848694530817728
Illinois,2009,0.013409543084723132,0.020632052701801233,0.0014558429859906578,0.26663304069379623,6.052034689793196,4.053368912608406,26.94196130753836,25.823882588392262,0.07553261986657782
Illinois,2010,0.013044004651129936,0.02628309463276835,0.002121935108757062,0.34858314265536744,9.165254237288135,5.5,34.951977401129945,24.521186440677965,0.0975080442620057
Illinois,2011,0.012113899931472067,0.02484632233502541,0.002497643974619287,0.34147597461928925,8.647208121827411,5.2652284263959395,33.263959390862944,23.294416243654823,0.0952334602151015
Illinois,2012,0.011954034387878789,0.027684872727272714,0.001126317866666666,0.29630255000000016,5.571212121212121,4.471212121212122,39.97575757575758,22.624242424242425,0.08426694374545458
Illinois,2013,0.010983754192796605,0.023804485169491536,0.0008925856228813551,0.2928190741525425,4.830508474576271,4.3241525423728815,34.983050847457626,21.173728813559322,0.082124974784428
Illinois,2014,0.01054753269702602,0.024025697026022315,0.0009951139219330854,0.3021041895910778,5.436802973977695,4.656133828996283,34.87918215613383,21.397769516728623,0.0844181333090148
Illinois,2015,0.008374824237774029,0.02576905733558181,0.0011985707234401356,0.30298716694772376,3.961214165261383,4.509274873524452,36.36593591905565,18.190556492411467,0.08458240481112994
Illinois,2016,0.010374431642458099,0.025014329608938544,0.0009567464636871505,0.31007915083798865,3.1452513966480447,4.435754189944134,31.201117318435752,20.837988826815643,0.08660616463826812
Indiana,2000,0.015287580371257494,0.029781718562874263,0.007299263514970036,0.8754990119760476,24.934131736526947,12.125748502994012,43.209580838323355,31.74251497005988,0.23196689360628736
Indiana,2001,0.014947843544943808,0.03215273033707866,0.00327551220786517,0.38313398876404464,18.786516853932586,5.842696629213483,50.28651685393258,30.837078651685392,0.10837751871348307
Indiana,2002,0.0163927037109375,0.03550572656250001,0.0034927056406250027,0.445247390625,20.1796875,6.609375,57.671875,33.4296875,0.12515963163476562
Indiana,2003,0.014522778646067411,0.029897033707865176,0.003374679348314605,0.44320771348314536,20.685393258426966,6.910112359550562,44.853932584269664,30.921348314606742,0.12275055129634814
Indiana,2004,0.013780555342657342,0.030380405594405586,0.0047264949930069956,0.5664627132867132,21.832167832167833,8.34965034965035,42.67132867132867,28.034965034965033,0.15383754230419577
Indiana,2005,0.01323063002717392,0.03280651630434785,0.004726219804347825,0.4229393043478259,24.983695652173914,6.766304347826087,50.28260869565217,29.58695652173913,0.11842566762092388
Indiana,2006,0.013922752137931038,0.024199563218390806,0.00994356021264367,0.6578142241379309,25.867816091954023,8.666666666666666,35.0632183908046,24.304597701149426,0.1764700249267241
Indiana,2007,0.010950615340909098,0.03188369886363635,0.003414435846590909,0.44973485227272736,15.960227272727273,6.386363636363637,46.94318181818182,23.210227272727273,0.12399590058096593
Indiana,2008,0.009288780684782613,0.02874951630434782,0.002480403141304349,0.42082826630434805,8.048913043478262,6.065217391304348,37.86413043478261,20.684782608695652,0.11533674160869571
Indiana,2009,0.010135623790960452,0.025930056497175162,0.0015592056384180787,0.2345159830508474,7.836158192090395,3.5819209039548023,34.429378531073446,20.073446327683616,0.06803521724435027
Indiana,2010,0.009392295469387751,0.029449952380952375,0.0029986348095238104,0.16493008163265302,10.013605442176871,2.9523809523809526,38.04761904761905,20.360544217687075,0.05169274107312924
Indiana,2011,0.009906356070652173,0.033770559782608685,0.001363555358695652,0.05684747826086959,12.233695652173912,1.2554347826086956,45.78260869565217,20.494565217391305,0.025471987368206526
Indiana,2012,0.009840462542483658,0.03576250980392156,0.0008451328431372545,0.40109069934640523,8.732026143790849,5.908496732026144,51.11764705882353,22.366013071895424,0.11188470113398692
Indiana,2013,0.010357095237603309,0.02849926239669421,0.002183906334710745,0.26931901033057865,13.12396694214876,4.136363636363637,37.32644628099174,19.43595041322314,0.07758981857489673
Indiana,2014,0.01133361767848101,0.027034701265822775,0.002509264587341772,0.2329289113924053,13.772151898734178,3.7088607594936707,37.51898734177215,21.040506329113924,0.06845162373101271
