Year,State,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,State Average
2010,Connecticut,3.4519350811485645,4.0649188514357055,35.34332084893882,20.530586766541823,15.847690387016229
2010,Country Of Mexico,5.094707520891365,15.038997214484679,29.568245125348188,33.325905292479106,20.756963788300833
2010,District Of Columbia,8.17032967032967,11.997252747252746,39.27472527472528,30.994505494505493,22.609203296703296
2010,Florida,1.0194986072423398,5.334261838440112,35.467966573816156,13.442896935933147,13.81615598885794
2010,Georgia,5.260869565217392,6.793478260869565,28.054347826086957,30.73913043478261,17.711956521739133
2010,Idaho,0.6925207756232687,2.89196675900277,33.83102493074792,24.019390581717452,15.358725761772854
2010,Illinois,9.165254237288135,5.5,34.951977401129945,24.521186440677965,18.53460451977401
2010,Indiana,10.013605442176871,2.9523809523809526,38.04761904761905,20.360544217687075,17.843537414965986
2010,Iowa,1.0782828282828283,3.654040404040404,34.5,16.06313131313131,13.823863636363637
2010,Kansas,14.862573099415204,6.707602339181286,27.4093567251462,25.739766081871345,18.679824561403507
2010,Louisiana,7.787535410764873,3.971671388101983,34.92634560906516,26.28611898016997,18.242917847025495
2010,Maine,3.79788838612368,3.5625942684766216,28.66214177978884,12.85972850678733,12.22058823529412
2010,Maryland,7.234782608695652,6.257971014492754,39.2927536231884,26.27246376811594,19.764492753623188
2010,Massachusetts,4.9088397790055245,4.400552486187845,25.983425414364643,28.53038674033149,15.955801104972377
2010,Nevada,1.3,6.3,23.7,34.4,16.424999999999997
2010,New Hampshire,8.64179104477612,6.507462686567164,33.97014925373134,14.925373134328359,16.011194029850746
2010,New York,8.418789808917197,4.461783439490445,35.232484076433124,23.191082802547772,17.826035031847134
2010,North Carolina,3.758426966292135,5.436797752808989,41.09550561797753,23.963483146067414,18.56355337078652
2010,North Dakota,0.6520547945205479,2.136986301369863,30.095890410958905,13.586301369863014,11.617808219178082
2010,Ohio,9.688524590163935,4.185792349726776,44.868852459016395,13.256830601092895,18.0
2010,Oklahoma,2.891891891891892,3.6332046332046333,35.608108108108105,13.073359073359073,13.801640926640925
2010,Oregon,2.819178082191781,5.383561643835616,24.005479452054793,17.172602739726027,12.345205479452055
2010,Pennsylvania,9.486166007905139,4.103754940711463,39.637351778656125,21.66403162055336,18.722826086956523
2010,South Carolina,2.935344827586207,1.1120689655172413,37.564655172413794,4.258620689655173,11.467672413793103
2010,Tennessee,2.4693140794223827,1.9747292418772564,46.588447653429604,1.6462093862815885,13.169675090252708
2010,Texas,4.045400238948626,3.7228195937873356,33.30465949820788,21.953006770211072,15.756471525288731
2010,Virginia,6.169590643274854,2.008771929824561,46.02046783625731,19.85672514619883,18.51388888888889
2011,Arizona,2.4501679731243002,6.216125419932811,38.694288913773796,31.609182530795074,19.742441209406493
2011,Arkansas,2.9863013698630136,6.178082191780822,35.701369863013696,21.115068493150684,16.495205479452054
2011,California,1.8042571398010483,5.76906621028987,35.747673547973044,21.737618996684137,16.264653973687025
2011,Colorado,8.855345911949685,5.767295597484277,42.06603773584906,36.062893081761004,23.187893081761004
2011,Connecticut,3.185324553151458,3.206961429915334,34.92944496707432,17.55126999059266,14.718250235183444
2011,Country Of Mexico,8.443396226415095,16.919811320754718,22.32075471698113,38.22641509433962,21.47759433962264
2011,Delaware,3.357142857142857,3.6706349206349205,33.285714285714285,21.099206349206348,15.353174603174603
2011,District Of Columbia,7.117241379310345,9.662068965517241,32.57701149425287,28.137931034482758,19.373563218390803
2011,Florida,0.7698630136986301,5.767123287671233,35.95068493150685,12.715068493150685,13.80068493150685
2011,Georgia,4.862258953168044,5.429752066115703,38.32506887052342,29.140495867768596,19.43939393939394
2011,Hawaii,2.29734219269103,3.9119601328903655,27.13953488372093,8.787375415282392,10.534053156146179
2011,Idaho,1.9565217391304348,4.826086956521739,20.91304347826087,16.91304347826087,11.15217391304348
2011,Illinois,8.647208121827411,5.2652284263959395,33.263959390862944,23.294416243654823,17.61770304568528
2011,Indiana,12.233695652173912,1.2554347826086956,45.78260869565217,20.494565217391305,19.941576086956523
2011,Iowa,2.252851711026616,2.840304182509506,32.7851711026616,15.26425855513308,13.285646387832701
2011,Kansas,11.397142857142857,6.868571428571428,27.32,25.074285714285715,17.665
2011,Louisiana,6.528925619834711,3.371900826446281,35.99724517906336,24.482093663911847,17.595041322314053
2011,Maine,2.9623955431754876,3.267409470752089,27.32590529247911,11.701949860724234,11.31441504178273
2011,Maryland,7.26517571884984,5.220447284345048,36.322683706070286,25.610223642172524,18.604632587859424
2011,Massachusetts,4.53021978021978,4.508241758241758,24.85989010989011,29.6510989010989,15.887362637362639
2011,Minnesota,2.097560975609756,3.1498257839721253,32.721254355400696,18.121951219512194,14.022648083623693
2011,Nevada,1.1835616438356165,4.791780821917809,33.12328767123287,29.931506849315067,17.257534246575343
2011,New Jersey,7.025862068965517,6.227011494252873,31.166666666666668,36.548850574712645,20.242097701149426
2011,New Mexico,0.8220338983050848,3.5282485875706215,39.943502824858754,26.47457627118644,17.692090395480225
2011,New York,8.1224,4.1064,30.3232,21.9496,16.1254
2011,North Carolina,2.2644163150492265,5.337552742616034,42.09845288326301,20.946554149085795,17.661744022503516
2011,North Dakota,0.5319767441860465,1.9796511627906976,28.607558139534884,12.799418604651162,10.979651162790699
